Spins,Monomials,Independent Monomials
"(0,0,0,0)",1,1
"(1,0,0,0)",2,2
"(1,1,0,0)",5,5
"(1,1,1,0)",14,14
"(1,1,1,1)",43,43
"(2,0,0,0)",3,3
"(2,1,0,0)",8,8
"(2,1,1,0)",24,24
"(2,1,1,1)",78,78
"(2,2,0,0)",14,14
"(2,2,1,0)",44,44
"(2,2,1,1)",150,149
"(2,2,2,0)",85,84
"(2,2,2,1)",302,294
"(2,2,2,2)",633,594
"(3,0,0,0)",4,4
"(3,1,0,0)",11,11
"(3,1,1,0)",34,34
"(3,1,1,1)",114,114
"(3,2,0,0)",20,20
"(3,2,1,0)",65,65
"(3,2,1,1)",228,226
"(3,2,2,0)",130,128
"(3,2,2,1)",475,458
"(3,2,2,2)",1026,944
"(3,3,0,0)",30,30
"(3,3,1,0)",100,100
"(3,3,1,1)",360,355
"(3,3,2,0)",206,201
"(3,3,2,1)",772,732
"(3,3,2,2)",1713,1530
"(3,3,3,0)",336,322
"(3,3,3,1)",1290,1190
"(3,3,3,2)",2934,2514
"(3,3,3,3)",5143,4174

