Spins,Monomials,Independent Monomials
"(0,0,0,0)",1,1
"(1,0,0,0)",2,2
"(1,1,0,0)",5,5
"(1,1,1,0)",14,14
"(1,1,1,1)",43,41
"(2,0,0,0)",3,3
"(2,1,0,0)",8,8
"(2,1,1,0)",24,23
"(2,1,1,1)",78,68
"(2,2,0,0)",14,13
"(2,2,1,0)",44,38
"(2,2,1,1)",150,113
"(2,2,2,0)",85,63
"(2,2,2,1)",302,188
"(2,2,2,2)",633,313
"(3,0,0,0)",4,4
"(3,1,0,0)",11,11
"(3,1,1,0)",34,32
"(3,1,1,1)",114,95
"(3,2,0,0)",20,18
"(3,2,1,0)",65,53
"(3,2,1,1)",228,158
"(3,2,2,0)",130,88
"(3,2,2,1)",475,263
"(3,2,2,2)",1026,438
"(3,3,0,0)",30,25
"(3,3,1,0)",100,74
"(3,3,1,1)",360,221
"(3,3,2,0)",206,123
"(3,3,2,1)",772,368
"(3,3,2,2)",1713,613
"(3,3,3,0)",336,172
"(3,3,3,1)",1290,515
"(3,3,3,2)",2934,858
"(3,3,3,3)",5143,1201

